County,Infected,Population,Region
ALBANY,5332,306176,CAPITAL DISTRICT
ALLEGANY,1239,47685,WESTERN
BRONX,45048,1421010,NYC
BROOME,7789,196580,CENTRAL
CATTARAUGUS,1273,78549,WESTERN
CAYUGA,2893,78628,CENTRAL
CHAUTAUQUA,4125,131447,WESTERN
CHEMUNG,2282,87019,WESTERN
CHENANGO,2252,49085,CENTRAL
CLINTON,1634,81263,CAPITAL DISTRICT
COLUMBIA,1367,61603,CAPITAL DISTRICT
CORTLAND,1711,48578,CENTRAL
DELAWARE,1286,46352,CAPITAL DISTRICT
DUTCHESS,5590,295565,METRO
ERIE,16471,919753,WESTERN
ESSEX,548,38346,CAPITAL DISTRICT
FRANKLIN,1392,51106,CAPITAL DISTRICT
FULTON,1164,54328,CAPITAL DISTRICT
GENESEE,2460,58788,WESTERN
GREENE,1045,48111,CAPITAL DISTRICT
HAMILTON,80,4678,CAPITAL DISTRICT
HERKIMER,2991,63246,CENTRAL
JEFFERSON,4391,115932,CENTRAL
KINGS,39233,2573700,NYC
LEWIS,1536,26883,CENTRAL
LIVINGSTON,2210,64349,WESTERN
MADISON,2813,72065,CENTRAL
MONROE,30331,745290,WESTERN
MONTGOMERY,1644,49641,CAPITAL DISTRICT
NASSAU,35059,1351595,METRO
NEW YORK,24825,1622020,NYC
NIAGARA,2567,213234,WESTERN
ONEIDA,16055,232193,CENTRAL
ONONDAGA,16561,465567,CENTRAL
ONTARIO,4714,109010,WESTERN
ORANGE,8601,376299,METRO
ORLEANS,1131,41799,WESTERN
OSWEGO,5985,120196,CENTRAL
OTSEGO,1638,60996,CAPITAL DISTRICT
PUTNAM,2796,99291,METRO
QUEENS,46849,2278092,NYC
RENSSELAER,2967,159391,CAPITAL DISTRICT
RICHMOND,7516,472479,NYC
ROCKLAND,5043,319926,METRO
SARATOGA,7685,224888,CAPITAL DISTRICT
SCHENECTADY,5843,154836,CAPITAL DISTRICT
SCHOHARIE,558,31807,CAPITAL DISTRICT
SCHUYLER,612,18175,WESTERN
SENECA,924,34890,WESTERN
ST LAWRENCE,4611,110707,CENTRAL
STEUBEN,2767,97840,WESTERN
SUFFOLK,34782,1491148,METRO
SULLIVAN,2339,76065,METRO
TIOGA,1938,49718,CENTRAL
TOMPKINS,3751,102634,CENTRAL
ULSTER,3271,180371,METRO
WARREN,1098,64915,CAPITAL DISTRICT
WASHINGTON,1227,62388,CAPITAL DISTRICT
WAYNE,5071,91885,WESTERN
WESTCHESTER,32196,963249,METRO
WYOMING,739,41101,WESTERN
YATES,798,25182,WESTERN
